formula,T,Cp
Al2Be1O4,700.0,161.75
Al2Be1O4,600.0,154.97
Al2Be1O4,500.0,145.25
Al2Be1O4,400.0,130.28
Al2Be1O4,300.0,105.94
Al2Be1O4,298.0,105.38
B2H4O4,1400.0,258.99
B2H4O4,1300.0,253.801
B2H4O4,1200.0,247.442
B2H4O4,1100.0,239.99400000000003
B2H4O4,1000.0,231.333
B2H4O4,900.0,221.459
B2H4O4,800.0,210.41299999999998
B2H4O4,700.0,197.025
B2H4O4,600.0,181.71099999999998
B2H4O4,500.0,163.762
B2H4O4,400.0,143.135
B2H4O4,300.0,116.775
B2H4O4,298.0,116.19
Be1F2,1200.0,87.529
Be1F2,1100.0,84.182
Be1F2,1000.0,80.835
Be1F2,900.0,77.488
Be1F2,825.0,74.977
Be1F2,800.0,74.14
Be1F2,700.0,70.793
Be1F2,600.0,67.446
Be1F2,500.0,76.048
Be1F2,500.0,76.048
Be1F2,500.0,64.09899999999999
Be1F2,400.0,62.522
Be1F2,300.0,52.028
Be1F2,298.0,51.818999999999996
B1H4Na1,1900.0,133.679
B1H4Na1,1800.0,133.553
B1H4Na1,1700.0,133.511
B1H4Na1,1600.0,133.428
B1H4Na1,1500.0,133.30200000000002
B1H4Na1,1400.0,133.135
B1H4Na1,1300.0,132.675
B1H4Na1,1200.0,131.754
B1H4Na1,1100.0,130.039
B1H4Na1,1000.0,127.445
B1H4Na1,900.0,124.265
B1H4Na1,800.0,120.24799999999999
B1H4Na1,700.0,115.26899999999999
B1H4Na1,600.0,108.617
B1H4Na1,500.0,101.79700000000001
B1H4Na1,400.0,94.55799999999999
B1H4Na1,300.0,86.64200000000002
B1H4Na1,298.0,86.48299999999998
Al1Cl6Na3,298.0,244.136
Al1Cl6Na3,1900.0,334.825
Al1Cl6Na3,1800.0,332.21
Al1Cl6Na3,1700.0,329.385
Al1Cl6Na3,1600.0,326.3520000000001
Al1Cl6Na3,1500.0,322.796
Al1Cl6Na3,1400.0,318.82099999999997
Al1Cl6Na3,1300.0,314.741
Al1Cl6Na3,1200.0,310.453
Al1Cl6Na3,1100.0,305.72
Al1Cl6Na3,1000.0,300.62
Al1Cl6Na3,900.0,294.972
Al1Cl6Na3,800.0,288.69599999999997
Al1Cl6Na3,700.0,281.165
Al1Cl6Na3,600.0,273.006
Al1Cl6Na3,500.0,264.01
Al1Cl6Na3,400.0,254.387
Al1Cl6Na3,300.0,244.513
Al1Br3,298.0,100.57799999999999
Al1Br3,1400.0,124.934
Al1Br3,1300.0,124.851
Al1Br3,1200.0,124.76700000000001
Al1Br3,1100.0,124.68299999999999
Al1Br3,1000.0,124.6
Al1Br3,900.0,124.516
Al1Br3,800.0,124.432
Al1Br3,700.0,124.348
Al1Br3,600.0,124.265
Al1Br3,500.0,123.846
Al1Br3,400.0,117.78
Al1Br3,370.6,113.07799999999999
Al1Br3,300.0,100.816
Br3Zr1,1900.0,106.566
Br3Zr1,1800.0,106.525
Br3Zr1,1700.0,106.48299999999999
Br3Zr1,1600.0,106.441
Br3Zr1,1500.0,106.399
Br3Zr1,1400.0,106.35700000000001
Br3Zr1,1300.0,106.315
Br3Zr1,1200.0,106.23200000000001
Br3Zr1,1100.0,106.148
Br3Zr1,1000.0,106.064
Br3Zr1,900.0,105.855
Br3Zr1,800.0,105.43700000000001
Br3Zr1,700.0,105.01799999999999
Br3Zr1,600.0,104.6
Br3Zr1,500.0,103.76299999999999
Br3Zr1,400.0,102.508
Br3Zr1,300.0,99.56200000000001
Br3Zr1,298.0,99.48299999999999
Be2O4Si1,2900.0,194.58900000000003
Be2O4Si1,2800.0,193.702
Be2O4Si1,2700.0,192.815
Be2O4Si1,2600.0,191.928
Be2O4Si1,2500.0,191.041
Be2O4Si1,2400.0,190.15400000000002
Be2O4Si1,2300.0,189.267
Be2O4Si1,2200.0,188.38
Be2O4Si1,2100.0,187.493
Be2O4Si1,2000.0,186.606
Be2O4Si1,1900.0,185.68599999999998
Be2O4Si1,1800.0,184.74900000000002
Be2O4Si1,1700.0,183.803
Be2O4Si1,1600.0,182.84900000000002
Be2O4Si1,1500.0,181.887
Be2O4Si1,1400.0,180.916
Be2O4Si1,1300.0,179.636
Be2O4Si1,1200.0,178.197
Be2O4Si1,1100.0,176.356
Be2O4Si1,1000.0,174.054
Be2O4Si1,900.0,170.74900000000005
Be2O4Si1,800.0,166.021
Be2O4Si1,700.0,158.866
Be2O4Si1,600.0,149.16
Be2O4Si1,500.0,136.942
Be2O4Si1,400.0,120.75
Be2O4Si1,300.0,96.098
Be2O4Si1,298.0,95.56299999999999
Br2Hg2,1400.0,125.14299999999999
Br2Hg2,1300.0,124.209
Br2Hg2,1200.0,123.47
Br2Hg2,1100.0,122.539
Br2Hg2,1000.0,121.545
Br2Hg2,900.0,120.416
Br2Hg2,800.0,119.118
Br2Hg2,700.0,117.529
Br2Hg2,600.0,115.604
Br2Hg2,500.0,113.052
Br2Hg2,400.0,109.62100000000001
Br2Hg2,300.0,104.70299999999999
Br2Hg2,298.0,104.6
B1H3O3,298.0,81.337
B1H3O3,1400.0,181.27900000000002
B1H3O3,1300.0,177.653
B1H3O3,1200.0,173.218
B1H3O3,1100.0,167.97400000000005
B1H3O3,1000.0,161.921
B1H3O3,900.0,155.017
B1H3O3,800.0,147.27700000000004
B1H3O3,700.0,137.915
B1H3O3,600.0,127.194
B1H3O3,500.0,114.64200000000001
B1H3O3,400.0,100.20700000000001
B1H3O3,300.0,81.755
Br3Ti1,1400.0,172.015
Br3Ti1,1300.0,168.755
Br3Ti1,1200.0,165.111
Br3Ti1,1100.0,161.084
Br3Ti1,1000.0,156.673
Br3Ti1,900.0,151.879
Br3Ti1,800.0,147.27700000000004
Br3Ti1,700.0,137.21
Br3Ti1,600.0,125.507
Br3Ti1,500.0,114.709
Br3Ti1,400.0,105.818
Br3Ti1,300.0,101.77600000000001
Br3Ti1,298.0,101.705
C1Cu1N1,900.0,80.249
C1Cu1N1,800.0,78.032
C1Cu1N1,700.0,75.689
C1Cu1N1,600.0,73.13600000000002
C1Cu1N1,500.0,70.249
C1Cu1N1,400.0,66.735
C1Cu1N1,300.0,62.195
C1Cu1N1,298.0,61.023999999999994
Ca1H2O2,900.0,116.022
Ca1H2O2,800.0,113.512
Ca1H2O2,700.0,110.709
Ca1H2O2,600.0,107.445
Ca1H2O2,500.0,103.931
Ca1H2O2,400.0,98.40799999999999
Ca1H2O2,300.0,87.78
Ca1H2O2,298.0,87.48700000000002
B2Be3O6,298.0,139.746
B2Be3O6,2900.0,332.754
B2Be3O6,2800.0,330.829
B2Be3O6,2700.0,328.904
B2Be3O6,2600.0,327.105
B2Be3O6,2500.0,325.18
B2Be3O6,2400.0,323.423
B2Be3O6,2300.0,321.582
B2Be3O6,2200.0,319.658
B2Be3O6,2100.0,317.649
B2Be3O6,2000.0,315.474
B2Be3O6,1900.0,313.382
B2Be3O6,1800.0,311.20599999999996
B2Be3O6,1700.0,308.905
B2Be3O6,1600.0,306.7290000000001
B2Be3O6,1500.0,304.553
B2Be3O6,1400.0,302.21
B2Be3O6,1300.0,299.574
B2Be3O6,1200.0,296.395
B2Be3O6,1100.0,292.211
B2Be3O6,1000.0,286.269
B2Be3O6,900.0,277.567
B2Be3O6,800.0,264.805
B2Be3O6,700.0,247.567
B2Be3O6,600.0,226.605
B2Be3O6,500.0,202.84
B2Be3O6,400.0,175.017
B2Be3O6,300.0,140.415
Al1Cl4Na1,298.0,154.975
Al1Cl4Na1,900.0,197.27599999999998
Al1Cl4Na1,800.0,193.51
Al1Cl4Na1,700.0,189.11700000000002
Al1Cl4Na1,600.0,182.422
Al1Cl4Na1,500.0,174.054
Al1Cl4Na1,400.0,164.808
Al1Cl4Na1,300.0,154.808
Al1Cl6K3,298.0,248.90599999999998
Al1Cl6K3,1900.0,341.36199999999997
Al1Cl6K3,1800.0,339.32199999999995
Al1Cl6K3,1700.0,336.969
Al1Cl6K3,1600.0,334.30199999999996
Al1Cl6K3,1500.0,331.32
Al1Cl6K3,1400.0,328.026
Al1Cl6K3,1300.0,324.103
Al1Cl6K3,1200.0,319.658
Al1Cl6K3,1100.0,314.532
Al1Cl6K3,1000.0,308.779
Al1Cl6K3,900.0,302.88
Al1Cl6K3,800.0,295.809
Al1Cl6K3,700.0,287.8590000000001
Al1Cl6K3,600.0,279.491
Al1Cl6K3,500.0,269.659
Al1Cl6K3,400.0,259.157
Al1Cl6K3,300.0,249.283
Br2Hg1,1400.0,107.587
Br2Hg1,1300.0,104.65899999999999
Br2Hg1,1200.0,101.73
Br2Hg1,1100.0,98.801
Br2Hg1,1000.0,95.87200000000001
Br2Hg1,900.0,92.943
Br2Hg1,800.0,90.015
Br2Hg1,700.0,87.086
Br2Hg1,600.0,84.15700000000002
Br2Hg1,500.0,81.206
Br2Hg1,400.0,78.321
Br2Hg1,300.0,75.366
Br2Hg1,298.0,75.312
Al1Cl1O1,298.0,56.902
Al1Cl1O1,2900.0,83.052
Al1Cl1O1,2800.0,83.052
Al1Cl1O1,2700.0,83.052
Al1Cl1O1,2600.0,83.052
Al1Cl1O1,2500.0,83.052
Al1Cl1O1,2400.0,83.052
Al1Cl1O1,2300.0,83.036
Al1Cl1O1,2200.0,83.01100000000002
Al1Cl1O1,2100.0,82.958
Al1Cl1O1,2000.0,82.885
Al1Cl1O1,1900.0,82.77
Al1Cl1O1,1800.0,82.62
Al1Cl1O1,1700.0,82.435
Al1Cl1O1,1600.0,82.21600000000002
Al1Cl1O1,1500.0,81.961
Al1Cl1O1,1400.0,81.672
Al1Cl1O1,1300.0,81.243
Al1Cl1O1,1200.0,80.709
Al1Cl1O1,1100.0,80.04
Al1Cl1O1,1000.0,79.245
Al1Cl1O1,900.0,78.168
Al1Cl1O1,800.0,76.86
Al1Cl1O1,700.0,74.977
Al1Cl1O1,600.0,72.634
Al1Cl1O1,500.0,69.203
Al1Cl1O1,400.0,64.308
Al1Cl1O1,300.0,57.111999999999995
Be1F4Li2,1400.0,299.5540000000001
Be1F4Li2,1300.0,284.64
Be1F4Li2,1200.0,269.72900000000004
Be1F4Li2,1100.0,254.81900000000002
Be1F4Li2,1000.0,239.91099999999997
Be1F4Li2,900.0,225.00400000000002
Be1F4Li2,800.0,210.1
Be1F4Li2,732.2,199.995
Be1F4Li2,700.0,195.18400000000003
Be1F4Li2,600.0,180.247
Be1F4Li2,500.0,165.352
Be1F4Li2,400.0,150.457
Be1F4Li2,300.0,135.52
Be1F4Li2,298.0,135.269
C1Mg1O3,900.0,127.61200000000001
C1Mg1O3,800.0,122.256
C1Mg1O3,700.0,116.23200000000001
C1Mg1O3,600.0,109.035
C1Mg1O3,500.0,100.061
C1Mg1O3,400.0,89.855
C1Mg1O3,300.0,76.501
C1Mg1O3,298.0,76.21
Br1H4N1,1400.0,174.264
Br1H4N1,1300.0,168.127
Br1H4N1,1200.0,161.502
Br1H4N1,1100.0,154.102
Br1H4N1,1000.0,146.02200000000005
Br1H4N1,900.0,136.817
Br1H4N1,800.0,126.775
Br1H4N1,700.0,115.06
Br1H4N1,600.0,102.42399999999999
Br1H4N1,500.0,87.195
Br1H4N1,411.0,92.844
Br1H4N1,411.0,72.867
Br1H4N1,400.0,92.71700000000001
Br1H4N1,300.0,88.89299999999999
Br1H4N1,298.0,88.676
Ca1I2,1400.0,98.91
Ca1I2,1300.0,96.943
Ca1I2,1200.0,94.977
Ca1I2,1100.0,93.0
Ca1I2,1052.0,92.04799999999999
Ca1I2,1000.0,91.00200000000001
Ca1I2,900.0,89.036
Ca1I2,800.0,87.069
Ca1I2,700.0,85.103
Ca1I2,600.0,83.13600000000002
Ca1I2,500.0,81.17
Ca1I2,400.0,79.161
Ca1I2,300.0,77.195
Ca1I2,298.0,77.157
Br4Mo1,900.0,144.4
Br4Mo1,800.0,142.674
Br4Mo1,700.0,140.844
Br4Mo1,600.0,138.909
Br4Mo1,500.0,136.817
Br4Mo1,400.0,135.143
Br4Mo1,300.0,133.093
Br4Mo1,298.0,133.05100000000002
Br4Ti1,1400.0,133.779
Br4Ti1,1300.0,133.779
Br4Ti1,1200.0,133.779
Br4Ti1,1100.0,133.779
Br4Ti1,1000.0,133.779
Br4Ti1,900.0,133.779
Br4Ti1,800.0,133.779
Br4Ti1,700.0,133.779
Br4Ti1,600.0,133.779
Br4Ti1,500.0,133.779
Br4Ti1,400.0,133.779
Br4Ti1,311.4,133.779
Br4Ti1,300.0,131.815
Br4Ti1,298.0,131.503
Ba1Br2,298.0,77.015
Ba1Br2,1400.0,100.839
Ba1Br2,1300.0,98.675
Ba1Br2,1200.0,96.512
Ba1Br2,1130.0,95.00200000000001
Ba1Br2,1100.0,94.353
Ba1Br2,1000.0,92.19
Ba1Br2,900.0,90.027
Ba1Br2,800.0,87.86399999999998
Ba1Br2,700.0,85.70100000000002
Ba1Br2,600.0,83.542
Ba1Br2,500.0,81.37899999999998
Ba1Br2,400.0,79.21600000000002
Ba1Br2,300.0,77.053
Be1O4S1,298.0,85.697
Be1O4S1,2200.0,200.832
Be1O4S1,2100.0,200.832
Be1O4S1,2000.0,200.832
Be1O4S1,1900.0,200.832
Be1O4S1,1800.0,200.832
Be1O4S1,1700.0,200.706
Be1O4S1,1600.0,200.00400000000002
Be1O4S1,1500.0,198.65599999999998
Be1O4S1,1400.0,196.581
Be1O4S1,1300.0,193.543
Be1O4S1,1200.0,189.209
Be1O4S1,1100.0,183.088
Be1O4S1,1000.0,174.43099999999995
Be1O4S1,900.0,162.046
Be1O4S1,800.0,149.787
Be1O4S1,700.0,137.988
Be1O4S1,600.0,126.81700000000001
Be1O4S1,500.0,116.35700000000001
Be1O4S1,400.0,103.88
Be1O4S1,300.0,86.111
Ba1F2,298.0,72.204
Ba1F2,1900.0,107.654
Ba1F2,1800.0,107.654
Ba1F2,1700.0,107.654
Ba1F2,1641.0,107.654
Ba1F2,1600.0,107.654
Ba1F2,1500.0,107.654
Ba1F2,1480.0,107.104
Ba1F2,1480.0,107.654
Ba1F2,1400.0,114.014
Ba1F2,1300.0,137.654
Ba1F2,1240.0,194.91400000000002
Ba1F2,1240.0,194.713
Ba1F2,1200.0,130.541
Ba1F2,1100.0,104.182
Ba1F2,1000.0,94.55799999999999
Ba1F2,900.0,88.70100000000002
Ba1F2,800.0,84.935
Ba1F2,700.0,82.383
Ba1F2,600.0,80.333
Ba1F2,500.0,78.45
Ba1F2,400.0,75.94
Ba1F2,300.0,72.304
Cl2Fe1,1900.0,89.95299999999996
Cl2Fe1,1800.0,89.90700000000002
Cl2Fe1,1700.0,89.81700000000002
Cl2Fe1,1600.0,89.684
Cl2Fe1,1500.0,89.507
Cl2Fe1,1400.0,89.287
Cl2Fe1,1300.0,88.962
Cl2Fe1,1200.0,88.554
Cl2Fe1,1100.0,88.01299999999998
Cl2Fe1,1000.0,87.354
Cl2Fe1,950.0,86.944
Cl2Fe1,900.0,86.50399999999998
Cl2Fe1,800.0,85.508
Cl2Fe1,700.0,84.375
Cl2Fe1,600.0,83.10700000000001
Cl2Fe1,500.0,81.638
Cl2Fe1,400.0,79.668
Cl2Fe1,300.0,76.735
Cl2Fe1,298.0,76.664
C1K1N1,1900.0,66.905
C1K1N1,1800.0,66.865
C1K1N1,1700.0,66.82600000000001
C1K1N1,1600.0,66.78699999999999
C1K1N1,1500.0,66.747
C1K1N1,1400.0,66.708
C1K1N1,1300.0,66.669
C1K1N1,1200.0,66.62899999999999
C1K1N1,1100.0,66.59
C1K1N1,1000.0,66.551
C1K1N1,900.0,66.51100000000001
C1K1N1,895.0,66.509
C1K1N1,800.0,66.471
C1K1N1,700.0,66.431
C1K1N1,600.0,66.392
C1K1N1,500.0,66.354
C1K1N1,400.0,66.316
C1K1N1,300.0,66.383
C1K1N1,298.0,66.391
Be1H2O2,298.0,65.70100000000001
Be1H2O2,900.0,110.399
Be1H2O2,800.0,107.495
Be1H2O2,700.0,103.956
Be1H2O2,600.0,99.387
Be1H2O2,500.0,92.994
Be1H2O2,400.0,82.902
Be1H2O2,300.0,66.053
Cs1,900.0,37.656
Cs1,800.0,37.635
Cs1,700.0,37.614000000000004
Cs1,600.0,37.53
Cs1,500.0,37.196
Cs1,450.0,36.777
Cs1,400.0,36.066
Cs1,350.0,34.84
Cs1,301.55,32.501
Cs1,300.0,32.355
Cs1,298.0,32.195
Al1H4Li1,298.0,86.4
Al1H4Li1,1900.0,123.76299999999999
Al1H4Li1,1800.0,123.24700000000001
Al1H4Li1,1700.0,122.71700000000001
Al1H4Li1,1600.0,122.17299999999999
Al1H4Li1,1500.0,121.615
Al1H4Li1,1400.0,121.04299999999999
Al1H4Li1,1300.0,120.416
Al1H4Li1,1200.0,119.74600000000001
Al1H4Li1,1100.0,118.84700000000001
Al1H4Li1,1000.0,117.78
Al1H4Li1,900.0,116.2
Al1H4Li1,800.0,114.223
Al1H4Li1,700.0,111.294
Al1H4Li1,600.0,106.90100000000001
Al1H4Li1,500.0,101.25299999999999
Al1H4Li1,400.0,93.72200000000001
Al1H4Li1,300.0,86.944
C1Be2,3400.0,92.939
C1Be2,3300.0,92.86399999999999
C1Be2,3200.0,92.786
C1Be2,3100.0,92.705
C1Be2,3000.0,92.62100000000001
C1Be2,2900.0,92.53399999999999
C1Be2,2800.0,92.443
C1Be2,2700.0,92.35
C1Be2,2600.0,92.25299999999999
C1Be2,2500.0,92.15299999999999
C1Be2,2400.0,92.04799999999999
C1Be2,2400.0,92.04799999999999
C1Be2,2300.0,91.964
C1Be2,2200.0,91.885
C1Be2,2100.0,91.79700000000001
C1Be2,2000.0,91.72200000000001
C1Be2,1900.0,91.62100000000001
C1Be2,1800.0,91.34899999999999
C1Be2,1700.0,90.84299999999999
C1Be2,1600.0,90.023
C1Be2,1500.0,88.881
C1Be2,1400.0,87.27799999999998
C1Be2,1300.0,85.01100000000002
C1Be2,1200.0,81.797
C1Be2,1100.0,77.525
C1Be2,1000.0,73.249
C1Be2,900.0,68.977
C1Be2,800.0,64.706
C1Be2,700.0,60.434
C1Be2,600.0,51.89
C1Be2,500.0,49.751999999999995
C1Be2,400.0,47.614
C1Be2,300.0,43.32899999999999
C1Be2,298.0,43.25
Cr1,2700.0,68.467
Cr1,2600.0,66.111
Cr1,2500.0,63.763999999999996
Cr1,2400.0,61.425
Cr1,2300.0,59.099
Cr1,2200.0,56.785
Cr1,2130.0,55.174
Cr1,2100.0,54.488
Cr1,2000.0,52.20399999999999
Cr1,1900.0,49.943999999999996
Cr1,1800.0,47.706
Cr1,1700.0,45.50100000000001
Cr1,1600.0,43.32899999999999
Cr1,1500.0,41.2
Cr1,1400.0,39.125
Cr1,1300.0,37.116
Cr1,1200.0,35.187
Cr1,1100.0,33.472
Cr1,1000.0,31.861
Cr1,900.0,30.500999999999998
Cr1,800.0,29.434
Cr1,700.0,28.576999999999998
Cr1,600.0,27.719
Cr1,500.0,26.631
Cr1,450.0,25.983
Cr1,400.0,25.23
Cr1,350.0,24.393
Cr1,311.5,23.680999999999997
Cr1,311.5,23.680999999999997
Cr1,300.0,23.471999999999998
Cr1,298.0,23.434
Cl1Cu1,1400.0,66.874
Cl1Cu1,1300.0,66.459
Cl1Cu1,1200.0,66.01100000000001
Cl1Cu1,1100.0,65.531
Cl1Cu1,1000.0,65.01899999999999
Cl1Cu1,900.0,64.388
Cl1Cu1,800.0,63.68
Cl1Cu1,703.0,62.791000000000004
Cl1Cu1,700.0,62.76
Cl1Cu1,600.0,61.505
Cl1Cu1,500.0,59.831
Cl1Cu1,400.0,56.902
Cl1Cu1,300.0,48.771
Cl1Cu1,298.0,48.534
Cu1F2,1900.0,94.55799999999999
Cu1F2,1800.0,94.55799999999999
Cu1F2,1700.0,94.55799999999999
Cu1F2,1600.0,94.43299999999999
Cu1F2,1500.0,94.22399999999999
Cu1F2,1400.0,93.84700000000001
Cu1F2,1300.0,93.303
Cu1F2,1200.0,92.55
Cu1F2,1109.0,91.713
Cu1F2,1100.0,91.588
Cu1F2,1000.0,90.374
Cu1F2,900.0,88.868
Cu1F2,800.0,87.027
Cu1F2,700.0,84.81
Cu1F2,600.0,81.92299999999999
Cu1F2,500.0,77.73899999999998
Cu1F2,400.0,72.383
Cu1F2,300.0,65.689
Cu1F2,298.0,65.55199999999999
Al2O3,298.0,79.015
Al2O3,2900.0,143.511
Al2O3,2800.0,142.591
Al2O3,2700.0,141.754
Al2O3,2600.0,140.959
Al2O3,2500.0,140.20600000000002
Al2O3,2400.0,139.453
Al2O3,2327.0,138.934
Al2O3,2300.0,138.741
Al2O3,2200.0,138.03
Al2O3,2100.0,137.319
Al2O3,2000.0,136.608
Al2O3,1900.0,135.89600000000002
Al2O3,1800.0,135.143
Al2O3,1700.0,134.306
Al2O3,1600.0,133.361
Al2O3,1500.0,132.29
Al2O3,1400.0,131.08100000000002
Al2O3,1300.0,129.737
Al2O3,1200.0,128.252
Al2O3,1100.0,126.60799999999999
Al2O3,1000.0,124.771
Al2O3,900.0,122.662
Al2O3,800.0,120.135
Al2O3,700.0,116.926
Al2O3,600.0,112.545
Al2O3,500.0,106.131
Al2O3,400.0,96.086
Al2O3,300.0,79.416
B1N1,298.0,19.719
B1N1,3400.0,48.953
B1N1,3300.0,48.953
B1N1,3200.0,48.953
B1N1,3100.0,48.953
B1N1,3000.0,48.953
B1N1,2900.0,48.953
B1N1,2800.0,48.953
B1N1,2700.0,48.953
B1N1,2600.0,48.953
B1N1,2500.0,48.953
B1N1,2400.0,48.953
B1N1,2300.0,48.953
B1N1,2200.0,48.953
B1N1,2100.0,48.953
B1N1,2000.0,48.953
B1N1,1900.0,48.953
B1N1,1800.0,48.953
B1N1,1700.0,48.93899999999999
B1N1,1600.0,48.911
B1N1,1500.0,48.702
B1N1,1400.0,48.283
B1N1,1300.0,47.698
B1N1,1200.0,46.861000000000004
B1N1,1100.0,45.815
B1N1,1000.0,44.35
B1N1,900.0,42.593
B1N1,800.0,40.459
B1N1,700.0,38.074
B1N1,600.0,35.229
B1N1,500.0,31.38
B1N1,400.0,26.276
B1N1,300.0,19.849
Co1O4S1,1900.0,173.25900000000001
Co1O4S1,1800.0,171.921
Co1O4S1,1700.0,170.498
Co1O4S1,1600.0,169.075
Co1O4S1,1500.0,167.56900000000005
Co1O4S1,1400.0,165.979
Co1O4S1,1300.0,164.30599999999995
Co1O4S1,1200.0,162.465
Co1O4S1,1100.0,160.415
Co1O4S1,1000.0,158.113
Co1O4S1,964.0,156.792
Co1O4S1,964.0,157.221
Co1O4S1,900.0,155.394
Co1O4S1,800.0,152.047
Co1O4S1,700.0,147.27700000000004
Co1O4S1,600.0,140.666
Co1O4S1,500.0,131.545
Co1O4S1,400.0,119.286
Co1O4S1,300.0,103.63799999999999
Co1O4S1,298.0,103.219
Cu1O1,1900.0,62.494
Cu1O1,1800.0,61.726000000000006
Cu1O1,1700.0,60.958
Cu1O1,1600.0,60.181000000000004
Cu1O1,1500.0,59.395
Cu1O1,1400.0,58.601000000000006
Cu1O1,1300.0,57.8
Cu1O1,1200.0,56.978
Cu1O1,1100.0,56.135
Cu1O1,1000.0,55.262
Cu1O1,900.0,54.34
Cu1O1,800.0,53.349
Cu1O1,700.0,52.24
Cu1O1,600.0,50.935
Cu1O1,500.0,49.261
Cu1O1,400.0,46.806000000000004
Cu1O1,300.0,42.364
Cu1O1,298.0,42.246
Cr2O3,2900.0,146.24200000000005
Cr2O3,2800.0,145.333
Cr2O3,2700.0,144.428
Cr2O3,2603.0,143.553
Cr2O3,2600.0,143.526
Cr2O3,2500.0,142.628
Cr2O3,2400.0,141.733
Cr2O3,2300.0,140.839
Cr2O3,2200.0,139.947
Cr2O3,2100.0,139.056
Cr2O3,2000.0,138.168
Cr2O3,1900.0,136.88
Cr2O3,1800.0,135.457
Cr2O3,1700.0,134.47799999999998
Cr2O3,1600.0,133.486
Cr2O3,1500.0,132.482
Cr2O3,1400.0,131.457
Cr2O3,1300.0,130.411
Cr2O3,1200.0,129.332
Cr2O3,1100.0,128.202
Cr2O3,1000.0,127.009
Cr2O3,900.0,125.725
Cr2O3,800.0,124.29
Cr2O3,700.0,122.625
Cr2O3,600.0,120.54899999999999
Cr2O3,500.0,117.721
Cr2O3,400.0,112.675
Cr2O3,305.0,126.775
Cr2O3,305.0,126.775
Cr2O3,300.0,121.92200000000001
Cr2O3,298.0,120.366
Cs1F1,1900.0,69.036
Cs1F1,1800.0,68.994
Cs1F1,1700.0,68.91
Cs1F1,1600.0,68.743
Cs1F1,1500.0,68.492
Cs1F1,1400.0,68.157
Cs1F1,1300.0,67.697
Cs1F1,1200.0,66.944
Cs1F1,1100.0,65.85600000000001
Cs1F1,1000.0,64.35
Cs1F1,976.0,63.952
Cs1F1,900.0,62.63399999999999
Cs1F1,800.0,60.876999999999995
Cs1F1,700.0,59.12
Cs1F1,600.0,57.363
Cs1F1,500.0,55.56399999999999
Cs1F1,400.0,53.763999999999996
Cs1F1,300.0,52.007
Cs1F1,298.0,51.965
Cr2N1,2400.0,127.277
Cr2N1,2300.0,124.934
Cr2N1,2200.0,122.59100000000001
Cr2N1,2100.0,119.955
Cr2N1,2000.0,117.48700000000001
Cr2N1,1900.0,114.76700000000001
Cr2N1,1800.0,112.508
Cr2N1,1700.0,109.788
Cr2N1,1600.0,107.027
Cr2N1,1500.0,104.265
Cr2N1,1400.0,101.50399999999999
Cr2N1,1300.0,98.742
Cr2N1,1200.0,95.98100000000001
Cr2N1,1100.0,93.26100000000001
Cr2N1,1000.0,90.5
Cr2N1,900.0,87.738
Cr2N1,800.0,84.977
Cr2N1,700.0,82.257
Cr2N1,600.0,79.49600000000002
Cr2N1,500.0,76.735
Cr2N1,400.0,73.429
Cr2N1,300.0,66.191
Cr2N1,298.0,66.065
